date,date_block_num,shop_id,item_id,item_price,item_cnt_day
2013-04-24,15,186,104745,25.0,8.0
2013-04-25,9,76,62847,14.875,25.0
2013-04-26,27,328,188541,43.0,43.0
2013-04-27,24,253,167592,38.0,38.0
2013-04-28,27,274,188541,45.0,38.0
2013-04-29,33,347,230439,54.923076923080004,36.0
2013-04-30,45,441,314235,73.0,67.0
2013-05-01,72,586,377082,87.97435897436,115.0
2013-05-02,64,477,335184,79.9696969697,94.0
2013-05-03,68,544,356133,83.0,125.0
2013-05-04,68,541,356133,82.66666666667,80.0
2013-05-05,68,531,356133,83.0,85.0
2013-05-06,76,530,398031,90.85714285713999,58.0
2013-05-07,72,561,377082,88.0,78.0
2013-05-08,76,612,398031,92.89285714286001,85.0
2013-05-09,64,475,335184,78.0,65.0
2013-05-10,80,608,418980,97.875,109.0
2013-05-11,80,685,418980,96.0,110.0
2013-05-12,80,605,418980,98.0,120.0
2013-05-13,92,766,481827,110.5,55.0
2013-05-14,76,677,398031,93.0,54.0
2013-05-15,92,818,481827,111.0,86.0
2013-05-16,96,740,502776,115.75,65.0
2013-05-17,92,763,481827,112.94444444444,172.0
2013-05-18,92,760,481827,108.96875,203.0
2013-05-19,88,728,460878,106.0,155.0
2013-05-20,76,615,398031,93.0,92.0
2013-05-21,96,766,502776,118.0,112.0
2013-05-22,92,735,481827,111.0,102.0
2013-05-23,84,626,439929,100.8,128.0
2013-05-24,104,812,544674,125.66666666667,149.0
2013-05-25,104,821,544674,126.0,205.0
2013-05-26,100,806,523725,121.0,215.0
2013-05-27,100,810,523725,119.0,105.0
2013-05-28,104,782,544674,127.77777777778,139.0
2013-05-29,108,831,565623,130.91666666666998,158.0
2013-05-30,136,1006,712266,165.85714285714,184.0
2013-05-31,136,1087,712266,168.0,224.0
2013-06-01,195,1292,817011,191.0,397.0
2013-06-02,195,1256,817011,191.0,315.0
2013-06-03,185,1228,775113,181.0,207.0
2013-06-04,185,1193,775113,181.0,235.0
2013-06-05,180,1190,754164,178.0,246.0
2013-06-06,200,1254,837960,195.91666666666998,239.0
2013-06-07,200,1268,837960,196.0,328.0
2013-06-08,200,1266,837960,195.91763888889,387.0
2013-06-09,195,1215,817011,193.0,306.0
2013-06-10,190,1261,796062,186.0,213.0
2013-06-11,190,1227,796062,185.29285714286002,242.0
2013-06-12,185,1139,775113,182.94444444444,342.0
2013-06-13,180,1145,754164,175.94117647059,211.0
2013-06-14,205,1270,858909,201.0,423.0
2013-06-15,190,1226,796062,186.0,361.0
2013-06-16,200,1238,837960,194.0,289.0
2013-06-17,195,1236,817011,188.91666666666998,224.0
2013-06-18,195,1236,817011,188.98076923077,242.0
2013-06-19,195,1311,817011,189.0,221.0
2013-06-20,195,1258,817011,188.66666666667,254.0
2013-06-21,205,1277,858909,199.0,299.0
2013-06-22,195,1209,817011,191.0,329.0
2013-06-23,185,1163,775113,183.0,283.0
2013-06-24,165,1118,691317,161.0,176.0
2013-06-25,175,1086,733215,172.9,240.0
2013-06-26,195,1190,817011,191.0,210.0
2013-06-27,190,1177,796062,187.8,270.0
2013-06-28,190,1166,796062,184.0,306.0
2013-06-29,195,1261,817011,189.0,368.0
2013-06-30,195,1249,817011,189.0,261.0
2013-07-01,240,1268,837960,194.0,224.0
2013-07-02,216,1161,754164,175.99709677419,218.0
2013-07-03,216,1120,754164,176.0,220.0
2013-07-04,240,1211,837960,193.75,210.0
2013-07-05,240,1269,837960,193.57142857143,264.0
2013-07-06,234,1213,817011,188.69828571429,280.0
2013-07-07,234,1176,817011,191.0,308.0
2013-07-08,216,1094,754164,173.76153846154,204.0
2013-07-09,216,1175,754164,179.89666666666,209.0
2013-07-10,234,1255,817011,190.31547619046998,224.0
2013-07-11,210,1076,733215,173.0,199.0
2013-07-12,222,1185,775113,179.0,251.0
2013-07-13,222,1224,775113,181.0,324.0
2013-07-14,216,1149,754164,178.0,254.0
2013-07-15,222,1205,775113,182.79,230.0
2013-07-16,198,1082,691317,164.81944444444,181.0
2013-07-17,240,1259,837960,196.0,225.0
2013-07-18,234,1252,817011,189.0,201.0
2013-07-19,210,1189,733215,171.0,225.0
2013-07-20,252,1316,879858,204.0,311.0
2013-07-21,252,1318,879858,203.8825,287.0
2013-07-22,234,1248,817011,191.0,224.0
2013-07-23,222,1165,775113,180.96428571428999,186.0
2013-07-24,234,1216,817011,191.0,188.0
2013-07-25,240,1278,837960,193.94736842105,245.0
2013-07-26,228,1241,796062,189.4025,219.0
2013-07-27,222,1176,775113,180.95833333333,324.0
2013-07-28,228,1177,796062,187.5,250.0
2013-07-29,234,1217,817011,193.0,158.0
2013-07-30,228,1277,796062,185.96875,225.0
2013-07-31,246,1306,858909,200.32741666667,201.0
2013-08-01,252,1056,754164,176.0,191.0
2013-08-02,245,1084,733215,173.0,277.0
2013-08-03,252,1051,754164,176.0,306.0
2013-08-04,252,1109,754164,176.0,249.0
2013-08-05,252,1091,754164,177.875,185.0
2013-08-06,231,1076,691317,163.0,180.0
2013-08-07,245,1019,733215,171.0,210.0
2013-08-08,266,1175,796062,184.0,214.0
2013-08-09,252,1083,754164,176.0,198.0
2013-08-10,259,1133,775113,181.0,269.0
2013-08-11,252,1028,754164,176.0,213.0
2013-08-12,231,1070,691317,161.0,154.0
2013-08-13,252,1145,754164,176.0,188.0
2013-08-14,252,1097,754164,175.85714285714,172.0
2013-08-15,238,1117,712266,170.0,223.0
2013-08-16,259,1162,775113,180.75,221.0
2013-08-17,259,1142,775113,178.875,320.0
2013-08-18,238,1068,712266,168.0,227.0
2013-08-19,245,1028,733215,173.0,181.0
2013-08-20,266,1130,796062,186.0,215.0
2013-08-21,259,1155,775113,179.0,241.0
2013-08-22,252,1093,754164,176.0,212.0
2013-08-23,266,1179,796062,187.875,252.0
2013-08-24,273,1151,817011,190.91666666666998,342.0
2013-08-25,273,1201,817011,189.0,310.0
2013-08-26,266,1154,796062,183.98214285714,205.0
2013-08-27,273,1186,817011,189.0,192.0
2013-08-28,273,1158,817011,189.0,243.0
2013-08-29,252,1114,754164,178.0,264.0
2013-08-30,259,1122,775113,182.7,283.0
2013-08-31,273,1186,817011,189.0,359.0
2013-09-01,312,1186,817011,189.0,324.0
2013-09-02,304,1171,796062,185.94065656566,418.0
2013-09-03,312,1136,817011,191.0,397.0
2013-09-04,264,1068,691317,162.9375,179.0
2013-09-05,272,997,712266,166.0,205.0
2013-09-06,280,1088,733215,170.95,278.0
2013-09-07,296,1119,775113,179.0,341.0
2013-09-08,296,1163,775113,181.0,310.0
2013-09-09,280,1014,733215,168.875,155.0
2013-09-10,280,1133,733215,173.0,183.0
2013-09-11,288,1133,754164,176.0,190.0
2013-09-12,256,944,670368,156.0,181.0
2013-09-13,272,1114,712266,164.0,223.0
2013-09-14,296,1141,775113,178.82142857142998,372.0
2013-09-15,296,1180,775113,179.0,322.0
2013-09-16,272,1029,712266,166.0,155.0
2013-09-17,264,971,691317,158.96774193548,369.0
2013-09-18,288,1092,754164,176.0,244.0
2013-09-19,288,1101,754164,174.0,196.0
2013-09-20,312,1188,817011,188.9375,292.0
2013-09-21,296,1138,775113,178.8,417.0
2013-09-22,304,1131,796062,184.0,309.0
2013-09-23,264,989,691317,161.0,143.0
2013-09-24,296,1160,775113,179.0,174.0
2013-09-25,296,1159,775113,179.0,196.0
2013-09-26,296,1133,775113,178.90909090909,222.0
2013-09-27,280,1128,733215,171.0,238.0
2013-09-28,328,1271,858909,199.0,427.0
2013-09-29,320,1289,837960,196.0,284.0
2013-09-30,296,1176,775113,182.85714285714,201.0
2013-10-01,351,1294,817011,189.0,211.0
2013-10-02,315,1095,733215,171.0,164.0
2013-10-03,315,1201,733215,171.0,199.0
2013-10-04,333,1096,775113,180.94642857143,258.0
2013-10-05,378,1277,879858,203.96428571428999,419.0
